"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,493,1,486,1,480,1,486,1,466
1,482,1,486,1,486,1,486,1,465
1,518,1,482,1,482,1,482,1,482
1,474,1,493,1,461,1,482,1,493
1,482,1,482,1,486,1,482,1,482
1,482,1,482,1,482,1,786,1,786
1,486,1,786,1,786,1,486,1,786
1,514,1,518,1,486,1,486,1,486
1,486,1,486,1,486,1,486,1,516
1,486,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,493,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,482,1,786,1,786,1,786
1,475,1,786,1,507,1,786,1,493
1,786,1,493,1,493,1,786,1,486
1,507,1,786,1,786,1,786,1,786
1,465,1,473,1,486,1,786,1,518
1,493,1,786,1,786,1,486,1,473
1,493,1,493,1,786,1,486,1,486
1,786,1,786,1,486,1,486,1,493
1,786,1,486,1,786,1,480,1,786
1,482,1,493,1,493,1,486,1,786
1,486,1,786,1,486,1,786,1,486
1,518,1,786,1,786,1,786,1,486
1,482,1,493,1,786,1,493,1,507
1,491,1,482,1,481,1,482,1,513
1,511,1,486,1,507,1,786,1,786
1,786,1,786,1,786,1,493,1,466
1,786,1,493,1,486,1,485,1,486
1,490,1,486,1,507,1,486,1,493
1,786,1,486,1,494,1,494,1,466
1,493,1,786,1,487,1,786,1,518
1,486,1,515,1,786,1,486,1,490
1,786,1,786,1,786,1,493,1,493
1,786,1,786,1,786,1,786,1,486
1,493,1,518,1,786,1,1,786,786
1,786,1,786,1,786,1,786,1,786
1,1,786,786,1,786,1,786,1,786
1,465,1,786,1,786,1,466,1,516
1,786,1,786,1,786,1,786,1,486
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,475,1,486
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,486
1,786,1,786,1,486,1,491,1,786
1,786,1,1,786,786,1,786,1,493
1,786,1,786,1,486,1,786,1,493
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,491,1,786,1,465,1,786,1,486
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,493,1,786,1,786
1,786,1,486,1,493,1,481,1,518
1,786,1,786,1,786,1,486,1,487
1,486,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,486
1,786,1,786,1,491,1,490,1,786
1,786,1,786,1,786,1,482,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,490,1,493,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,519,1,486,1,786,1,786,1,786
1,786,1,493,1,786,1,496,1,786
1,786,1,518,1,465,1,465,1,786
1,786,1,786,1,786,1,786,1,487
1,786,1,493,1,491,1,491,1,786
1,786,1,466,1,486,1,493,1,786
1,518,1,518,1,786,1,786,1,493
1,491,1,786,1,486,1,786,1,786
1,491,1,493,1,786,1,786,1,486
1,486,1,491,1,486,1,786,1,786
1,493,1,475,1,786,1,786,1,518
1,511,1,518,1,486,1,486,1,518
1,466,1,486,1,786,1,786,1,485
1,786,1,486,1,786,1,786,1,786
1,486,1,486,1,493,1,486,1,786
1,786,1,786,1,786,1,486,1,518
1,491,1,518,1,786,1,518,1,492
1,485,1,786,1,511,1,518,1,786
1,786,1,786,1,786,1,786,1,485
1,786,1,786,1,786,1,786,1,786
1,786,1,491,1,486,1,507,1,786
1,518,1,486,1,486,1,486,1,493
1,493,1,514,1,491,1,786,1,511
1,493,1,486,1,786,1,486,1,491
1,486,1,518,1,513,1,493,1,518
1,786,1,786,1,491,1,486,1,486
1,493,1,486,1,482,1,512,1,491
1,482,1,493,1,518,1,518,1,486
1,486,1,481,1,786,1,518,1,518
1,786,1,518,1,518,1,786,1,486
1,486,1,493,1,486,1,493,1,491
1,510,1,492,1,486,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,478
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,486,1,493,1,786,1,491
1,786,1,786,1,786,1,786,1,491
1,786,1,481,1,786,1,786,1,486
1,486,1,786,1,786,1,486,1,486
1,518,1,786,1,786,1,486,1,486
1,786,1,486,1,487,1,518,1,486
1,486,1,486,1,491,1,786,1,518
1,491,1,786,1,491,1,493,1,786
1,786,1,786,1,518,1,486,1,491
1,786,1,486,1,486,1,512,1,510
1,486,1,486,1,511,1,518,1,786
1,518,1,510,1,786,1,786,1,786
1,470,1,786,1,786,1,786,1,786
1,786,1,486,1,486,1,786,1,493
1,491,1,486,1,786,1,466,1,492
1,491,1,473,1,512,1,493,1,518
1,786,1,486,1,518,1,486,1,786
1,463,1,786,1,786,1,786,1,1
786,786,1,786,1,486,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,493,1,486,1,511
1,480,1,481,1,518,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,486,1,786,1,786,1,491,1,786
1,786,1,474,1,786,1,786,1,486
1,786,1,786,1,786,1,786,1,510
1,512,1,486,1,486,1,466,1,486
1,493,1,786,1,786,1,786,1,786
1,786,1,786,1,491,1,786,1,786
1,1,1,786,786,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,491,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,493
1,786,1,786,1,786,1,491,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,493,1,786,1,511
1,786,1,786,1,786,1,466,1,786
1,786,1,786,1,786,1,486,1,786
1,786,1,1,786,786,1,1,786,786
1,486,1,786,1,486,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,493,1,786,1,786,1,786,1,786
1,491,1,786,1,486,1,511,1,786
1,493,1,490,1,487,1,496,1,786
1,465,1,786,1,486,1,1,786,786
1,786,1,786,1,786,1,786,1,786
1,786,1,491,1,786,1,786,1,786
1,1,786,786,1,491,1,786,1,786
1,1,786,786,1,786,1,518,1,786
1,786,1,786,1,486,1,786,1,786
1,786,1,491,1,786,1,786,1,786
1,1,786,786,1,786,1,491,1,786
1,486,1,487,1,481,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,786,1,786
1,465,1,786,1,786,1,511,1,786
1,786,1,786,1,786,1,786,1,518
1,786,1,786,1,786,1,786,1,786
1,786,1,493,1,786,1,786,1,786
1,491,1,518,1,786,1,786,1,486
1,786,1,786,1,491,1,786,1,786
1,786,1,491,1,490,1,486,1,486
1,466,1,511,1,486,1,486,1,786
1,786,1,491,1,491,1,491,1,486
1,786,1,786,1,518,1,486,1,507
1,491,1,466,1,518,1,514,1,514
1,786,1,518,1,786,1,786,1,463
1,491,1,786,1,786,1,486,1,486
1,486,1,786,1,786,1,786,1,491
1,786,1,786,1,786,1,786,1,786
1,786,1,486,1,786,1,786,1,786
1,786,1,486,1,491,1,491,1,786
1,786,1,786,1,786,1,786,1,786
1,786,1,786,1,786,1,486,1,486
1,518,1,786,1,786,1,486,1,786
1,786,1,786,1,518,1,786,1,786
1,786,1,514,1,486,1,491,1,786
